name	product
accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha
accB	acetyl-CoA carboxylase biotin carboxyl carrier protein 
accD	acetyl-CoA carboxylase carboxyl transferase subunit beta
acpP	acyl carrier protein
acsF	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
apcA	allophycocyanin alpha subunit
apcB	allophycocyanin beta subunit
apcD	allophycocyanin-B
apcE	phycobilisome core-membrane linker protein
apcF	phycobilisome core component
argB	acetylglutamate kinase
atpA	ATP synthase subunit alpha
atpB	ATP synthase subunit beta
atpC	ATP synthase C
atpD	ATP synthase subunit delta
atpE	ATP synthase subunit epsilon
atpF	ATP synthase subunit b
atpG	ATP synthase subunit gamma
atpH	ATP synthase subunit c
atpI	ATP synthase subunit a
atpL	ATP synthase L
bas1	Cytochrome P450 superfamily protein
carA	carbamoyl phosphate synthetase A
cbbX	rubisco expression protein
ccdA	cytochrome c-type biogenesis protein transmembrane region
ccsA	cytochrome c-type biogenesis protein CcsA
cemA	envelope membrane protein
chlB	protochlorophyllide reductase subunit B 
chlI	magnesium chelatase subunit I 
chlL	protochlorophyllide reductase subunit L
chlN	protochlorophyllide reductase subunit N
clpA	ATP-dependent Clp protease ATP-binding subunit ClpA
clpC	ATP-dependent Clp protease ATP-binding subunit ClpC
clpP	"ATP-dependent Clp protease, protease subunit"
cpcA	phycocyanin alpha chain
cpcB	phycocyanin beta chain
cpcG	phycobilisome rod-core linker protein
cpcS	Chromophore lyase
cpeA	phycoerythrin alpha chain
cpeB	phycoerythrin beta chain
cpeS	chromophore lyase cpcS/cpeS
cysA	sulfate ABC transporter protein A
cysT	sulfate ABC transporter protein T
dfr	drug sensory protein A
dnaB	replicative DNA helicase
dnaK	heat shock protein 70
dsbD	disulfide interchange protein
fabH	beta-ketoacyl-ACP synthase III
ftrB	ferredoxin-thioredoxin reductase B
ftrC	ferredoxin-thioredoxin reductase C
ftsH	cell division protease FtsH
ftsW	cell division protease FtsW
gltB	ferredoxin-dependent glutamate synthase
groEL	chaperonin GroEL
ilvB	acetolactate synthase large subunit
ilvH	acetolactate synthase small subunit
infA	translation initiation factor IF-1
infB	translation initiation factor IF-2
infC	translation initiation factor IF-3
lipB	lipoate-protein ligase B
lysR	transcription regulator of Rubisco operon
matK	maturase K
minD	septum-site determining protein
minE	cell division topological specificity factor
moeB	molybdopterin biosynthesis protein
nblA	phycobilisome degradation protein
ndhA	NADH-plastoquinone oxidoreductase subunit 1
ndhB	NADH-plastoquinone oxidoreductase subunit 2
ndhC	NADH-plastoquinone oxidoreductase subunit 3
ndhD	NADH-plastoquinone oxidoreductase subunit 4
ndhE	NADH-plastoquinone oxidoreductase subunit 4L
ndhF	NADH-plastoquinone oxidoreductase subunit 5
ndhG	NADH-plastoquinone oxidoreductase subunit 6
ndhH	NADH-plastoquinone oxidoreductase subunit 7
ndhI	NADH-plastoquinone oxidoreductase subunit I
ndhJ	NADH-plastoquinone oxidoreductase subunit J
